security_id,nse_symbol,isin,company_name,issuer_id,exchange_id,listing_date,active_flag,_source_file,_extracted_date,_quality_issues,_confidence_score,_manual_review_required
296,BECTORFOOD,INE495P01020,MRS. BECTORS FOOD SPECIALITIES LIMITED,296,1,2020-12-24,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
297,BEDMUTHA,INE844K01012,BEDMUTHA INDUSTRIES LIMITED,297,1,2010-10-14,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
298,BEEKAY,INE213D01015,BEEKAY STEEL INDUSTRIES LIMITED,298,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
299,BEL,INE263A01024,BHARAT ELECTRONICS LIMITED,299,1,2000-07-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
300,BELLACASA,INE344T01014,BELLA CASA FASHION AND RETAIL LIMITED,300,1,2025-07-18,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
301,BELRISE,INE894V01022,BELRISE INDUSTRIES LIMITED,301,1,2025-05-28,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
302,BEML,INE258A01024,BEML LIMITED,302,1,2003-11-05,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
303,BENGALASM,INE083K01017,BENGAL AND ASSAM COMPANY LIMITED,303,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
304,BEPL,INE922A01025,BHANSALI ENGINEERING POLYMERS LIMITED,304,1,2005-03-21,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
305,BERGEPAINT,INE463A01038,BERGER PAINTS (I) LIMITED,305,1,1999-11-24,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
306,BESTAGRO,INE052T01021,BEST AGROLIFE LIMITED,306,1,2024-04-10,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
307,BETA,INE351Y01019,BETA DRUGS LIMITED,307,1,2025-11-24,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
308,BFINVEST,INE878K01010,BF INVESTMENT LIMITED,308,1,2011-01-14,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
309,BFUTILITIE,INE243D01012,BF UTILITIES LIMITED,309,1,2007-05-03,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
310,BGLOBAL,INE224M01013,BHARATIYA GLOBAL INFOMEDIA LIMITED,310,1,2011-07-28,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
311,BGRENERGY,INE661I01014,BGR ENERGY SYSTEMS LIMITED,311,1,2008-01-03,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
312,BHAGCHEM,INE414D01027,BHAGIRADHA CHEMICALS AND INDUSTRIES LIMITED,312,1,2021-10-18,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
313,BHAGERIA,INE354C01027,BHAGERIA INDUSTRIES LIMITED,313,1,2016-03-02,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
314,BHAGYANGR,INE458B01036,BHAGYANAGAR INDIA LIMITED,314,1,2017-05-17,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
315,BHANDARI,INE474E01029,BHANDARI HOSIERY EXPORTS LIMITED,315,1,2017-01-30,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
316,BHARATCOAL,INE05XR01022,BHARAT COKING COAL LIMITED,316,1,2026-01-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
317,BHARATFORG,INE465A01025,BHARAT FORGE LIMITED,317,1,2003-04-04,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
318,BHARATGEAR,INE561C01019,BHARAT GEARS LIMITED,318,1,1996-04-03,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
319,BHARATRAS,INE838B01021,BHARAT RASAYAN LIMITED,319,1,1995-10-11,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
320,BHARATSE,INE415D01024,BHARAT SEATS LIMITED,320,1,2025-03-24,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
321,BHARATWIRE,INE316L01019,BHARAT WIRE ROPES LIMITED,321,1,2016-04-01,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
322,BHARTIARTL,INE397D01024,BHARTI AIRTEL LIMITED,322,1,2002-02-15,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
323,BHARTIHEXA,INE343G01021,BHARTI HEXACOM LIMITED,323,1,2024-04-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
324,BHEL,INE257A01026,BHARAT HEAVY ELECTRICALS LIMITED,324,1,2003-11-11,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
325,BI,INE986A01012,BILCARE LIMITED,325,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
326,BIGBLOC,INE412U01025,BIGBLOC CONSTRUCTION LIMITED,326,1,2016-09-02,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
327,BIKAJI,INE00E101023,BIKAJI FOODS INTERNATIONAL LIMITED,327,1,2022-11-16,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
328,BIL,INE828A01016,BHARTIYA INTERNATIONAL LIMITED,328,1,2000-04-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
329,BILVYAPAR,INE071A01013,BIL VYAPAR LIMITED,329,1,2006-09-27,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
330,BIMETAL,INE469A01019,BIMETAL BEARINGS LIMITED,330,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
331,BIOCON,INE376G01013,BIOCON LIMITED,331,1,2004-04-07,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
332,BIOFILCHEM,INE829A01014,BIOFIL CHEMICALS AND PHARMACEUTICALS LIMITED,332,1,1996-06-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
333,BIRLACABLE,INE800A01015,BIRLA CABLE LIMITED,333,1,1995-12-06,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
334,BIRLACORPN,INE340A01012,BIRLA CORPORATION LIMITED,334,1,1995-04-12,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
335,BIRLAMONEY,INE865C01022,ADITYA BIRLA MONEY LIMITED,335,1,2008-02-07,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
336,BIRLANU,INE557A01011,BIRLANU LIMITED,336,1,1995-04-26,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
337,BIRLAPREC,INE372E01025,BIRLA PRECISION TECHNOLOGIES LIMITED,337,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
338,BLACKBUCK,INE0UIZ01018,BLACKBUCK LIMITED,338,1,2024-11-22,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
339,BLACKROSE,INE761G01016,BLACK ROSE INDUSTRIES LIMITED,339,1,2026-04-20,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
340,BLAL,INE0N7W01012,BEML LAND ASSETS LIMITED,340,1,2023-04-19,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
341,BLBLIMITED,INE791A01024,BLB LIMITED,341,1,2000-05-31,True,nse_symbols_consolidated.csv,2026-06-01,,1.0,False
